Word,Australia and New Zealand,Central Asia,Eastern Asia,Eastern Europe,Latin America and the Caribbean,Melanesia,Micronesia,Northern Africa,Northern America,Northern Europe,Polynesia,South-eastern Asia,Southern Asia,Southern Europe,Sub-Saharan Africa,Western Asia,Western Europe,global_freq
crew,9.0,0.0,1.0,8.0,172.0,5.0,27.0,1.0,60.0,25.0,82.0,5.0,3.0,14.0,58.0,4.0,1.0,475.0
crimson,16.0,12.0,16.0,78.0,39.0,5.0,3.0,31.0,19.0,79.0,16.0,13.0,26.0,73.0,79.0,49.0,35.0,589.0
crisp,50.0,101.0,65.0,268.0,229.0,5.0,2.0,17.0,111.0,364.0,7.0,15.0,107.0,250.0,123.0,108.0,192.0,2014.0
crop,14.0,29.0,23.0,48.0,233.0,46.0,17.0,46.0,17.0,39.0,30.0,88.0,94.0,59.0,757.0,54.0,2.0,1596.0
cross,81.0,83.0,103.0,60.0,300.0,29.0,39.0,71.0,33.0,80.0,61.0,71.0,78.0,90.0,373.0,136.0,53.0,1741.0
crossroad,11.0,4.0,20.0,17.0,113.0,2.0,7.0,12.0,17.0,15.0,19.0,8.0,21.0,26.0,93.0,42.0,20.0,447.0
crowd,126.0,86.0,306.0,194.0,1911.0,90.0,167.0,297.0,147.0,145.0,176.0,269.0,268.0,276.0,1780.0,550.0,221.0,7009.0
crown,4.0,3.0,4.0,25.0,90.0,23.0,66.0,9.0,5.0,21.0,62.0,9.0,7.0,53.0,50.0,10.0,48.0,489.0
crumble,9.0,20.0,24.0,29.0,156.0,3.0,9.0,69.0,21.0,31.0,4.0,13.0,43.0,66.0,109.0,133.0,26.0,765.0
crunch,7.0,2.0,2.0,47.0,19.0,1.0,1.0,8.0,20.0,72.0,1.0,2.0,8.0,29.0,12.0,17.0,22.0,270.0
cry,39.0,24.0,74.0,71.0,332.0,55.0,60.0,83.0,33.0,130.0,66.0,64.0,74.0,103.0,341.0,128.0,16.0,1693.0
crystal,62.0,104.0,43.0,179.0,379.0,52.0,63.0,54.0,76.0,221.0,75.0,58.0,78.0,256.0,341.0,139.0,81.0,2261.0
cultivate,8.0,9.0,6.0,29.0,136.0,8.0,12.0,17.0,8.0,4.0,22.0,51.0,33.0,26.0,169.0,117.0,7.0,662.0
cultural,75.0,49.0,59.0,35.0,597.0,68.0,121.0,73.0,17.0,16.0,127.0,120.0,74.0,59.0,533.0,325.0,76.0,2424.0
culture,245.0,369.0,237.0,146.0,3850.0,388.0,732.0,389.0,113.0,96.0,964.0,625.0,421.0,287.0,3354.0,1020.0,151.0,13387.0
cup,28.0,11.0,35.0,38.0,116.0,7.0,5.0,18.0,33.0,33.0,2.0,11.0,34.0,47.0,84.0,58.0,48.0,608.0
curiosity,128.0,214.0,237.0,411.0,1521.0,180.0,240.0,216.0,167.0,573.0,342.0,372.0,322.0,546.0,1812.0,579.0,243.0,8103.0
curious,38.0,82.0,81.0,128.0,402.0,66.0,80.0,55.0,34.0,160.0,96.0,188.0,96.0,131.0,676.0,183.0,56.0,2552.0
curl,23.0,8.0,1.0,46.0,279.0,16.0,14.0,24.0,20.0,74.0,26.0,9.0,20.0,64.0,171.0,53.0,9.0,857.0
curly,10.0,9.0,1.0,14.0,204.0,14.0,5.0,14.0,7.0,21.0,23.0,11.0,5.0,15.0,158.0,25.0,4.0,540.0
current,26.0,6.0,28.0,36.0,257.0,81.0,130.0,26.0,40.0,55.0,205.0,57.0,35.0,61.0,250.0,64.0,28.0,1385.0
curse,12.0,8.0,37.0,65.0,133.0,5.0,20.0,82.0,46.0,100.0,24.0,36.0,22.0,68.0,100.0,51.0,34.0,843.0
custom,8.0,13.0,9.0,4.0,37.0,13.0,11.0,8.0,1.0,5.0,24.0,11.0,13.0,5.0,88.0,25.0,4.0,279.0
cut,13.0,7.0,23.0,27.0,141.0,9.0,15.0,20.0,30.0,52.0,12.0,37.0,32.0,28.0,138.0,36.0,12.0,632.0
cycle,13.0,10.0,19.0,18.0,107.0,11.0,19.0,19.0,12.0,58.0,27.0,32.0,41.0,34.0,153.0,31.0,9.0,613.0
da,0.0,0.0,11.0,1.0,17.0,0.0,0.0,0.0,0.0,263.0,0.0,8.0,0.0,902.0,30.0,139.0,23.0,1394.0
daily,14.0,22.0,34.0,39.0,229.0,19.0,32.0,47.0,15.0,40.0,40.0,71.0,58.0,52.0,294.0,94.0,17.0,1117.0
damage,14.0,0.0,2.0,8.0,219.0,19.0,52.0,5.0,14.0,11.0,45.0,20.0,32.0,8.0,71.0,18.0,3.0,541.0
damp,33.0,3.0,22.0,92.0,256.0,25.0,20.0,9.0,18.0,144.0,23.0,54.0,23.0,110.0,194.0,34.0,34.0,1094.0
dan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1474.0,0.0,4.0,1.0,5.0,186.0,1670.0
dance,306.0,342.0,413.0,641.0,5166.0,828.0,775.0,363.0,232.0,1051.0,1069.0,737.0,643.0,739.0,4571.0,829.0,305.0,19010.0
dancer,5.0,10.0,10.0,11.0,541.0,46.0,35.0,11.0,2.0,17.0,56.0,46.0,27.0,13.0,362.0,22.0,26.0,1240.0
dancing,11.0,3.0,5.0,13.0,167.0,16.0,18.0,18.0,8.0,27.0,27.0,12.0,15.0,35.0,155.0,24.0,8.0,562.0
danger,17.0,31.0,81.0,72.0,314.0,48.0,54.0,75.0,27.0,82.0,69.0,53.0,59.0,65.0,368.0,108.0,46.0,1569.0
dangerous,4.0,16.0,46.0,13.0,90.0,10.0,16.0,26.0,17.0,19.0,10.0,10.0,24.0,18.0,90.0,48.0,32.0,489.0
dapple,18.0,3.0,11.0,47.0,94.0,12.0,3.0,2.0,4.0,69.0,5.0,24.0,5.0,38.0,76.0,24.0,20.0,455.0
dare,48.0,76.0,156.0,187.0,392.0,53.0,66.0,118.0,36.0,256.0,109.0,121.0,137.0,230.0,644.0,203.0,56.0,2888.0
dark,131.0,154.0,210.0,373.0,1287.0,190.0,273.0,239.0,124.0,486.0,411.0,229.0,270.0,485.0,1079.0,507.0,175.0,6623.0
darken,13.0,15.0,27.0,24.0,134.0,27.0,46.0,19.0,26.0,40.0,55.0,29.0,40.0,38.0,126.0,55.0,18.0,732.0
darkest,6.0,4.0,18.0,21.0,35.0,0.0,2.0,12.0,1.0,15.0,3.0,9.0,22.0,24.0,32.0,66.0,7.0,277.0
darkness,181.0,59.0,309.0,430.0,563.0,113.0,134.0,160.0,83.0,822.0,213.0,136.0,182.0,447.0,872.0,280.0,99.0,5083.0
dart,14.0,5.0,19.0,10.0,209.0,48.0,60.0,11.0,22.0,45.0,64.0,12.0,39.0,21.0,89.0,36.0,14.0,718.0
date,18.0,4.0,4.0,26.0,68.0,1.0,3.0,108.0,20.0,19.0,7.0,14.0,16.0,25.0,121.0,364.0,37.0,855.0
datum,14.0,0.0,2.0,4.0,81.0,0.0,7.0,0.0,50.0,2.0,1.0,2.0,11.0,2.0,18.0,4.0,3.0,201.0
daughter,16.0,101.0,48.0,41.0,341.0,34.0,40.0,122.0,23.0,60.0,107.0,62.0,180.0,81.0,633.0,234.0,17.0,2140.0
dawn,115.0,135.0,210.0,238.0,1140.0,173.0,249.0,318.0,100.0,312.0,331.0,224.0,224.0,309.0,1490.0,474.0,104.0,6146.0
day,765.0,838.0,1109.0,1317.0,7550.0,774.0,1096.0,1145.0,762.0,1498.0,1704.0,1550.0,1701.0,1742.0,8230.0,2912.0,838.0,35531.0
daydream,8.0,2.0,7.0,13.0,56.0,6.0,5.0,15.0,8.0,11.0,8.0,12.0,15.0,11.0,81.0,13.0,9.0,280.0
dear,61.0,102.0,119.0,240.0,566.0,29.0,88.0,97.0,53.0,275.0,123.0,189.0,173.0,240.0,577.0,354.0,126.0,3412.0
debate,4.0,4.0,4.0,12.0,60.0,6.0,6.0,23.0,13.0,6.0,17.0,11.0,9.0,15.0,81.0,28.0,7.0,306.0
debris,19.0,6.0,8.0,7.0,220.0,31.0,60.0,16.0,20.0,19.0,56.0,12.0,39.0,25.0,82.0,49.0,13.0,682.0
decade,29.0,5.0,35.0,36.0,188.0,4.0,11.0,29.0,37.0,41.0,10.0,31.0,28.0,51.0,97.0,68.0,40.0,740.0
decide,188.0,176.0,241.0,407.0,1636.0,126.0,188.0,214.0,200.0,425.0,238.0,315.0,352.0,463.0,1551.0,619.0,309.0,7648.0
decipher,7.0,19.0,12.0,21.0,57.0,5.0,5.0,39.0,22.0,32.0,14.0,8.0,11.0,51.0,55.0,57.0,38.0,453.0
decision,82.0,54.0,104.0,97.0,579.0,29.0,31.0,86.0,100.0,70.0,95.0,97.0,113.0,118.0,443.0,163.0,92.0,2353.0
declare,50.0,43.0,74.0,127.0,480.0,75.0,78.0,131.0,42.0,178.0,139.0,133.0,120.0,164.0,749.0,205.0,40.0,2828.0
decorate,25.0,12.0,15.0,21.0,110.0,8.0,13.0,11.0,10.0,12.0,20.0,32.0,22.0,18.0,90.0,36.0,6.0,461.0
decoration,40.0,9.0,16.0,20.0,154.0,12.0,21.0,6.0,12.0,15.0,28.0,50.0,21.0,23.0,104.0,28.0,4.0,563.0
dedicate,48.0,13.0,45.0,43.0,361.0,25.0,30.0,57.0,49.0,64.0,47.0,49.0,62.0,76.0,259.0,123.0,58.0,1409.0
dedication,7.0,10.0,8.0,9.0,108.0,8.0,16.0,8.0,5.0,8.0,17.0,19.0,40.0,17.0,135.0,44.0,16.0,475.0
deep,461.0,414.0,498.0,793.0,4111.0,560.0,694.0,563.0,423.0,1204.0,1051.0,691.0,625.0,1091.0,3957.0,1275.0,457.0,18868.0
deepen,71.0,48.0,84.0,120.0,634.0,71.0,81.0,70.0,67.0,136.0,132.0,81.0,114.0,161.0,524.0,217.0,100.0,2711.0
deeply,165.0,155.0,236.0,436.0,1430.0,155.0,199.0,222.0,171.0,625.0,271.0,312.0,224.0,544.0,1358.0,504.0,229.0,7236.0
defeat,6.0,2.0,16.0,29.0,36.0,7.0,5.0,9.0,5.0,25.0,13.0,12.0,18.0,23.0,55.0,14.0,11.0,286.0
defend,9.0,4.0,8.0,17.0,57.0,10.0,5.0,23.0,3.0,14.0,23.0,14.0,18.0,47.0,86.0,25.0,7.0,370.0
defiance,6.0,0.0,53.0,22.0,83.0,2.0,5.0,26.0,4.0,10.0,4.0,7.0,35.0,23.0,43.0,61.0,7.0,391.0
define,22.0,18.0,38.0,48.0,181.0,15.0,18.0,32.0,27.0,30.0,28.0,31.0,29.0,67.0,174.0,97.0,39.0,894.0
deftly,2.0,11.0,6.0,4.0,63.0,4.0,9.0,15.0,1.0,4.0,11.0,18.0,29.0,9.0,76.0,38.0,4.0,304.0
del,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,887.0,1.0,0.0,0.0,1366.0
delicate,52.0,47.0,153.0,157.0,580.0,58.0,108.0,57.0,54.0,238.0,128.0,185.0,126.0,137.0,434.0,162.0,102.0,2778.0
delicious,16.0,7.0,10.0,8.0,113.0,4.0,1.0,2.0,13.0,4.0,6.0,36.0,22.0,19.0,60.0,30.0,6.0,357.0
delight,7.0,8.0,9.0,10.0,96.0,6.0,8.0,1.0,6.0,20.0,5.0,22.0,11.0,14.0,62.0,23.0,11.0,319.0
delve,30.0,11.0,23.0,50.0,181.0,5.0,15.0,38.0,47.0,76.0,8.0,26.0,16.0,83.0,121.0,66.0,92.0,888.0
demand,13.0,8.0,46.0,30.0,182.0,9.0,13.0,78.0,14.0,27.0,29.0,26.0,55.0,33.0,200.0,88.0,37.0,888.0
demeanor,10.0,7.0,24.0,15.0,98.0,3.0,7.0,13.0,10.0,21.0,14.0,16.0,18.0,21.0,110.0,24.0,30.0,441.0
den,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,710.0,0.0,0.0,1.0,0.0,0.0,0.0,846.0,1564.0
dense,52.0,28.0,45.0,115.0,443.0,100.0,46.0,8.0,18.0,134.0,62.0,125.0,67.0,131.0,447.0,21.0,37.0,1879.0
departure,16.0,16.0,27.0,44.0,187.0,8.0,14.0,19.0,31.0,21.0,67.0,20.0,39.0,57.0,139.0,38.0,22.0,765.0
depend,6.0,5.0,3.0,9.0,60.0,9.0,15.0,5.0,9.0,12.0,19.0,20.0,15.0,8.0,90.0,11.0,5.0,301.0
depict,26.0,57.0,73.0,50.0,582.0,44.0,45.0,139.0,62.0,55.0,80.0,80.0,82.0,155.0,426.0,233.0,99.0,2288.0
depth,86.0,57.0,86.0,212.0,979.0,194.0,340.0,84.0,146.0,462.0,430.0,144.0,113.0,364.0,843.0,293.0,128.0,4961.0
der,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,863.0,0.0,0.0,0.0,1.0,1.0,4.0,1785.0,2656.0
des,0.0,0.0,1.0,0.0,31.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1563.0,1615.0
descend,44.0,55.0,51.0,55.0,269.0,45.0,32.0,58.0,60.0,98.0,61.0,29.0,62.0,118.0,233.0,113.0,52.0,1435.0
descendant,35.0,8.0,2.0,4.0,112.0,9.0,9.0,13.0,6.0,17.0,79.0,7.0,5.0,20.0,64.0,18.0,20.0,428.0
descent,10.0,21.0,4.0,4.0,106.0,9.0,19.0,11.0,8.0,20.0,20.0,13.0,17.0,29.0,92.0,33.0,11.0,427.0
describe,7.0,15.0,14.0,24.0,96.0,4.0,6.0,15.0,15.0,30.0,12.0,10.0,17.0,41.0,89.0,40.0,22.0,457.0
desert,12.0,661.0,10.0,0.0,90.0,1.0,0.0,1636.0,4.0,2.0,0.0,2.0,82.0,4.0,2201.0,2500.0,0.0,7205.0
deserve,14.0,8.0,36.0,36.0,184.0,10.0,20.0,38.0,23.0,26.0,19.0,29.0,38.0,36.0,160.0,66.0,43.0,786.0
design,15.0,45.0,100.0,50.0,284.0,23.0,18.0,73.0,44.0,52.0,68.0,68.0,136.0,83.0,377.0,218.0,103.0,1757.0
desire,62.0,100.0,152.0,160.0,626.0,45.0,61.0,147.0,48.0,177.0,127.0,118.0,154.0,219.0,666.0,246.0,72.0,3180.0
despair,38.0,36.0,90.0,119.0,285.0,27.0,35.0,94.0,27.0,111.0,42.0,52.0,97.0,115.0,431.0,254.0,36.0,1889.0
desperate,10.0,8.0,21.0,22.0,46.0,4.0,13.0,17.0,10.0,22.0,8.0,17.0,21.0,25.0,72.0,22.0,11.0,349.0
desperation,5.0,5.0,23.0,23.0,81.0,5.0,8.0,21.0,12.0,40.0,12.0,13.0,22.0,24.0,89.0,36.0,21.0,440.0
despite,65.0,51.0,106.0,134.0,582.0,43.0,64.0,135.0,61.0,143.0,111.0,114.0,139.0,163.0,675.0,298.0,86.0,2970.0
destination,45.0,27.0,28.0,32.0,205.0,15.0,20.0,30.0,31.0,44.0,35.0,21.0,50.0,69.0,151.0,61.0,29.0,893.0
destine,7.0,13.0,18.0,17.0,75.0,12.0,21.0,34.0,10.0,36.0,42.0,17.0,24.0,35.0,121.0,23.0,11.0,516.0
destiny,16.0,99.0,87.0,93.0,234.0,36.0,63.0,102.0,17.0,89.0,105.0,49.0,117.0,193.0,578.0,126.0,42.0,2046.0
destroy,15.0,6.0,18.0,41.0,324.0,32.0,29.0,16.0,12.0,68.0,26.0,53.0,37.0,34.0,251.0,46.0,11.0,1019.0
destruction,8.0,5.0,3.0,16.0,272.0,19.0,39.0,19.0,19.0,32.0,39.0,39.0,41.0,28.0,156.0,72.0,11.0,818.0
detail,22.0,7.0,31.0,32.0,141.0,4.0,9.0,34.0,33.0,48.0,15.0,30.0,28.0,62.0,89.0,64.0,106.0,755.0
determination,169.0,210.0,301.0,363.0,1763.0,245.0,336.0,366.0,154.0,459.0,449.0,368.0,369.0,466.0,2347.0,707.0,161.0,9233.0
determine,57.0,71.0,103.0,144.0,620.0,69.0,88.0,107.0,65.0,193.0,118.0,123.0,140.0,224.0,688.0,250.0,96.0,3156.0
determined,52.0,43.0,61.0,84.0,542.0,49.0,64.0,88.0,68.0,128.0,107.0,85.0,81.0,126.0,554.0,167.0,84.0,2383.0
develop,14.0,4.0,4.0,6.0,89.0,3.0,14.0,7.0,9.0,6.0,12.0,23.0,13.0,3.0,83.0,20.0,9.0,319.0
developer,6.0,9.0,7.0,13.0,266.0,15.0,8.0,3.0,23.0,50.0,34.0,51.0,22.0,32.0,101.0,62.0,7.0,709.0
development,38.0,2.0,8.0,13.0,394.0,29.0,36.0,16.0,28.0,26.0,25.0,76.0,25.0,13.0,313.0,95.0,12.0,1149.0
devise,4.0,7.0,13.0,15.0,79.0,11.0,11.0,21.0,4.0,19.0,14.0,21.0,17.0,22.0,98.0,25.0,13.0,394.0
di,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,0.0,1346.0,0.0,0.0,2.0,2568.0
dia,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,118.0,32.0,0.0,0.0,584.0
dialogue,3.0,4.0,15.0,4.0,44.0,3.0,1.0,18.0,2.0,2.0,6.0,8.0,18.0,5.0,106.0,63.0,8.0,310.0
diamond,20.0,38.0,19.0,36.0,232.0,33.0,61.0,46.0,21.0,67.0,99.0,41.0,39.0,75.0,315.0,90.0,22.0,1254.0
dictate,14.0,10.0,26.0,20.0,98.0,8.0,6.0,25.0,12.0,20.0,17.0,21.0,28.0,31.0,109.0,53.0,8.0,506.0
die,11.0,5.0,10.0,10.0,91.0,32.0,19.0,15.0,5.0,24.0,23.0,9.0,19.0,19.0,76.0,14.0,3730.0,4112.0
difference,45.0,11.0,33.0,21.0,300.0,23.0,42.0,27.0,18.0,16.0,25.0,47.0,52.0,41.0,350.0,109.0,9.0,1169.0
different,87.0,94.0,178.0,172.0,756.0,44.0,92.0,106.0,100.0,188.0,140.0,168.0,143.0,177.0,813.0,315.0,110.0,3683.0
dig,15.0,16.0,12.0,22.0,150.0,10.0,17.0,42.0,39.0,175.0,26.0,32.0,20.0,38.0,227.0,84.0,52.0,977.0
dim,12.0,17.0,69.0,51.0,145.0,9.0,13.0,31.0,14.0,52.0,20.0,19.0,36.0,49.0,143.0,71.0,38.0,789.0
dimly,5.0,7.0,47.0,27.0,70.0,2.0,4.0,14.0,9.0,33.0,1.0,7.0,6.0,25.0,30.0,22.0,61.0,370.0
dinner,17.0,3.0,27.0,13.0,153.0,5.0,18.0,21.0,21.0,17.0,15.0,28.0,29.0,16.0,91.0,74.0,18.0,566.0
dip,208.0,193.0,191.0,341.0,2097.0,220.0,332.0,340.0,189.0,419.0,467.0,324.0,338.0,493.0,2134.0,761.0,190.0,9237.0
direction,6.0,13.0,21.0,13.0,92.0,5.0,4.0,18.0,20.0,17.0,18.0,7.0,12.0,26.0,74.0,45.0,17.0,408.0
dirt,16.0,12.0,9.0,16.0,94.0,4.0,4.0,12.0,13.0,20.0,4.0,29.0,14.0,31.0,123.0,56.0,15.0,472.0
disappear,13.0,11.0,36.0,23.0,165.0,28.0,42.0,14.0,29.0,54.0,35.0,22.0,24.0,32.0,107.0,39.0,28.0,702.0
disbelief,11.0,14.0,17.0,48.0,168.0,14.0,35.0,26.0,21.0,44.0,26.0,42.0,29.0,52.0,193.0,73.0,20.0,833.0
discover,198.0,274.0,188.0,317.0,1625.0,147.0,224.0,296.0,213.0,395.0,403.0,260.0,243.0,511.0,1487.0,618.0,292.0,7691.0
discovery,103.0,89.0,54.0,114.0,822.0,50.0,94.0,194.0,174.0,172.0,151.0,114.0,115.0,286.0,538.0,422.0,204.0,3696.0
discuss,49.0,22.0,58.0,60.0,402.0,24.0,61.0,79.0,57.0,35.0,81.0,78.0,100.0,57.0,524.0,180.0,87.0,1954.0
discussion,19.0,4.0,34.0,16.0,223.0,14.0,29.0,42.0,16.0,11.0,39.0,29.0,39.0,23.0,289.0,96.0,30.0,953.0
dish,39.0,27.0,41.0,41.0,434.0,21.0,48.0,29.0,26.0,16.0,51.0,116.0,50.0,43.0,334.0,145.0,7.0,1468.0
dismiss,5.0,12.0,17.0,45.0,117.0,14.0,25.0,6.0,10.0,55.0,19.0,44.0,24.0,37.0,141.0,33.0,15.0,619.0
display,33.0,25.0,32.0,39.0,300.0,6.0,25.0,31.0,53.0,32.0,40.0,65.0,58.0,63.0,248.0,117.0,72.0,1239.0
disrupt,17.0,4.0,16.0,19.0,119.0,20.0,39.0,12.0,17.0,41.0,34.0,34.0,27.0,16.0,146.0,25.0,9.0,595.0
dissipate,17.0,13.0,25.0,46.0,72.0,14.0,22.0,11.0,9.0,68.0,28.0,13.0,11.0,42.0,111.0,23.0,6.0,531.0
dissolve,11.0,7.0,21.0,22.0,40.0,5.0,6.0,18.0,8.0,48.0,15.0,14.0,14.0,32.0,69.0,16.0,8.0,354.0
distance,65.0,70.0,112.0,104.0,627.0,59.0,70.0,105.0,97.0,114.0,162.0,82.0,138.0,145.0,501.0,272.0,98.0,2821.0
distant,105.0,199.0,191.0,316.0,1220.0,127.0,132.0,209.0,110.0,375.0,275.0,207.0,262.0,392.0,1425.0,509.0,153.0,6207.0
disturb,11.0,7.0,30.0,38.0,134.0,21.0,23.0,54.0,20.0,78.0,32.0,34.0,15.0,66.0,151.0,33.0,9.0,756.0
dive,32.0,2.0,8.0,9.0,365.0,38.0,89.0,2.0,59.0,28.0,89.0,10.0,49.0,38.0,92.0,179.0,17.0,1106.0
diver,2.0,0.0,3.0,2.0,39.0,1.0,2.0,0.0,12.0,1.0,0.0,1.0,3.0,5.0,3.0,226.0,2.0,302.0
diverse,26.0,18.0,27.0,11.0,133.0,12.0,7.0,23.0,12.0,4.0,14.0,42.0,24.0,34.0,196.0,59.0,19.0,661.0
diversity,1.0,13.0,5.0,4.0,42.0,0.0,3.0,18.0,4.0,1.0,5.0,28.0,12.0,11.0,103.0,35.0,10.0,295.0
divide,8.0,9.0,22.0,20.0,108.0,12.0,7.0,47.0,14.0,21.0,17.0,19.0,33.0,38.0,195.0,132.0,14.0,716.0
diving,9.0,2.0,5.0,3.0,116.0,13.0,17.0,3.0,19.0,5.0,19.0,1.0,20.0,8.0,28.0,229.0,10.0,507.0
dock,13.0,0.0,5.0,2.0,271.0,6.0,9.0,1.0,58.0,52.0,39.0,9.0,15.0,30.0,71.0,17.0,11.0,609.0
document,53.0,9.0,56.0,60.0,533.0,11.0,22.0,100.0,90.0,57.0,34.0,53.0,59.0,87.0,305.0,176.0,124.0,1829.0
documentary,13.0,1.0,0.0,5.0,67.0,7.0,7.0,16.0,3.0,0.0,25.0,4.0,11.0,1.0,109.0,43.0,9.0,321.0
dolphin,6.0,0.0,0.0,0.0,92.0,33.0,75.0,0.0,0.0,9.0,90.0,6.0,10.0,2.0,58.0,4.0,0.0,385.0
don,11.0,6.0,8.0,13.0,707.0,11.0,13.0,9.0,25.0,29.0,14.0,9.0,26.0,82.0,86.0,23.0,22.0,1094.0
door,43.0,33.0,102.0,126.0,329.0,6.0,9.0,63.0,75.0,167.0,8.0,35.0,72.0,99.0,168.0,144.0,538.0,2017.0
dot,36.0,48.0,12.0,16.0,167.0,20.0,30.0,30.0,13.0,55.0,37.0,35.0,28.0,34.0,183.0,62.0,30.0,836.0
doubt,45.0,52.0,66.0,90.0,364.0,39.0,41.0,91.0,34.0,114.0,73.0,89.0,70.0,145.0,544.0,129.0,55.0,2041.0
dove,3.0,0.0,3.0,2.0,73.0,15.0,25.0,1.0,6.0,8.0,18.0,4.0,9.0,51.0,34.0,24.0,8.0,284.0
doña,0.0,0.0,0.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,404.0
dragon,0.0,4.0,78.0,62.0,3.0,1.0,0.0,0.0,0.0,63.0,0.0,58.0,84.0,83.0,6.0,15.0,6.0,463.0
drape,10.0,25.0,28.0,33.0,146.0,16.0,8.0,19.0,13.0,61.0,25.0,31.0,28.0,52.0,177.0,43.0,27.0,742.0
draw,193.0,147.0,259.0,380.0,1781.0,119.0,157.0,254.0,213.0,477.0,258.0,299.0,278.0,480.0,1449.0,627.0,307.0,7678.0
drawing,3.0,13.0,9.0,9.0,94.0,4.0,11.0,10.0,11.0,20.0,6.0,15.0,12.0,30.0,81.0,36.0,8.0,372.0
dread,10.0,4.0,30.0,24.0,85.0,7.0,8.0,16.0,26.0,32.0,12.0,10.0,24.0,17.0,60.0,47.0,18.0,430.0
dream,400.0,702.0,915.0,963.0,5215.0,282.0,486.0,1082.0,489.0,680.0,929.0,973.0,1777.0,1094.0,7075.0,2371.0,587.0,26020.0
dreamer,19.0,41.0,35.0,55.0,241.0,19.0,32.0,37.0,16.0,51.0,40.0,32.0,85.0,76.0,296.0,99.0,28.0,1202.0
dreams,12.0,13.0,21.0,25.0,98.0,3.0,7.0,22.0,3.0,5.0,21.0,23.0,55.0,8.0,146.0,35.0,11.0,508.0
drench,6.0,6.0,4.0,16.0,108.0,7.0,10.0,12.0,10.0,7.0,17.0,9.0,18.0,29.0,71.0,36.0,4.0,370.0
dress,13.0,44.0,44.0,62.0,364.0,22.0,31.0,45.0,16.0,78.0,33.0,67.0,62.0,65.0,329.0,114.0,93.0,1482.0
drift,24.0,22.0,60.0,74.0,312.0,28.0,68.0,19.0,46.0,75.0,93.0,64.0,47.0,73.0,274.0,85.0,53.0,1417.0
drink,4.0,17.0,15.0,15.0,78.0,11.0,2.0,24.0,9.0,11.0,8.0,11.0,10.0,27.0,99.0,32.0,8.0,381.0
dripping,3.0,3.0,7.0,8.0,67.0,6.0,10.0,6.0,9.0,23.0,12.0,3.0,10.0,46.0,42.0,12.0,23.0,290.0
drive,82.0,17.0,50.0,59.0,333.0,23.0,33.0,70.0,51.0,111.0,47.0,48.0,49.0,81.0,270.0,187.0,50.0,1561.0
drop,10.0,12.0,22.0,34.0,137.0,13.0,19.0,20.0,24.0,34.0,28.0,38.0,49.0,45.0,189.0,44.0,17.0,735.0
drought,23.0,41.0,12.0,25.0,49.0,15.0,5.0,40.0,14.0,9.0,11.0,53.0,47.0,26.0,711.0,80.0,4.0,1165.0
drown,10.0,2.0,18.0,15.0,87.0,10.0,7.0,4.0,10.0,14.0,17.0,6.0,20.0,21.0,73.0,28.0,4.0,346.0
drum,11.0,9.0,18.0,16.0,639.0,117.0,55.0,41.0,5.0,14.0,87.0,31.0,40.0,12.0,2316.0,25.0,5.0,3441.0
dry,10.0,66.0,27.0,19.0,83.0,18.0,15.0,41.0,8.0,18.0,14.0,26.0,35.0,16.0,425.0,35.0,2.0,858.0
du,0.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0,9.0,316.0,0.0,17.0,0.0,0.0,2.0,1.0,653.0,1038.0
dune,5.0,194.0,4.0,0.0,3.0,0.0,3.0,738.0,0.0,2.0,0.0,0.0,25.0,1.0,815.0,795.0,0.0,2585.0
dunes,0.0,13.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,2.0,0.0,83.0,138.0,0.0,319.0
dusk,16.0,20.0,37.0,48.0,123.0,25.0,17.0,28.0,7.0,59.0,29.0,45.0,36.0,57.0,195.0,54.0,23.0,819.0
dust,49.0,24.0,21.0,60.0,156.0,3.0,2.0,97.0,37.0,99.0,9.0,19.0,40.0,101.0,169.0,101.0,89.0,1076.0
dusty,51.0,24.0,31.0,61.0,166.0,1.0,1.0,65.0,38.0,61.0,3.0,11.0,44.0,89.0,206.0,97.0,104.0,1053.0
duty,15.0,14.0,32.0,28.0,173.0,37.0,43.0,37.0,5.0,45.0,52.0,48.0,44.0,40.0,198.0,68.0,8.0,887.0
dwell,15.0,21.0,23.0,53.0,131.0,34.0,34.0,6.0,8.0,115.0,41.0,41.0,18.0,43.0,191.0,16.0,4.0,794.0
dwindle,17.0,6.0,4.0,8.0,100.0,12.0,29.0,12.0,17.0,9.0,24.0,15.0,15.0,15.0,108.0,31.0,4.0,426.0
